DATE,RAINFALL ,FLOW (M3/S),FLOW-OBSERVED (M3/S)
9-Mar-04,0.159,3990,4281
10-Mar-04,1.1065,3990,4270
11-Mar-04,0,3990,4260
12-Mar-04,0,3990,4249
13-Mar-04,0,3990,4238
14-Mar-04,0,3990,4220
15-Mar-04,0,3990,4203
16-Mar-04,0,3990,4186
17-Mar-04,0,3990,4168
18-Mar-04,0,3990,4151
19-Mar-04,0.2902,3990,4134
20-Mar-04,0.5266,3990,4117
21-Mar-04,0.1093,3990,4100
22-Mar-04,0.225,3990,4083
23-Mar-04,0.057,3990,4066
24-Mar-04,0.0988,3990,4048
25-Mar-04,0,3990,4031
26-Mar-04,0.1586,3990,4014
27-Mar-04,0.11,3990,3997
28-Mar-04,0.7607,3990,3980
29-Mar-04,4.9329,3990,3963
30-Mar-04,10.1253,3990,3946
31-Mar-04,23.3631,3990,3928
1-Apr-04,15.0396,3942,3911
2-Apr-04,10.4788,3920,3894
3-Apr-04,9.7993,3919,3877
4-Apr-04,17.1341,3892,3860
5-Apr-04,8.4789,3884,3843
6-Apr-04,97.9769,3886,3825
7-Apr-04,62.6193,3889,3808
8-Apr-04,3.1799,3908,3791
9-Apr-04,8.7005,3955,3774
10-Apr-04,3.0948,4026,3757
11-Apr-04,30.0615,4094,3740
12-Apr-04,32.6601,4185,3723
13-Apr-04,25.8247,4285,3705
14-Apr-04,45.9858,4401,3688
15-Apr-04,42.3371,4532,3671
16-Apr-04,32.2606,4685,3654
17-Apr-04,46.8502,4857,3637
18-Apr-04,83.7567,5053,3827
19-Apr-04,33.4336,5270,4080
20-Apr-04,1.5915,5514,4333
21-Apr-04,9.7854,5784,4587
22-Apr-04,15.5279,6070,4840
23-Apr-04,32.863,6367,5093
24-Apr-04,0,6662,5346
25-Apr-04,0,6956,5599
26-Apr-04,0,7233,5852
27-Apr-04,1.4747,7498,6106
28-Apr-04,0.0103,7743,6359
29-Apr-04,0.5275,7968,6612
30-Apr-04,0.0644,8159,6865
1-May-04,0.3923,8268,7118
2-May-04,8.313,8364,7371
3-May-04,1.8609,8443,7625
4-May-04,0,8451,7878
5-May-04,0,8443,8131
6-May-04,0.0373,8407,8384
7-May-04,0,8337,8637
8-May-04,3.9714,8249,8648
9-May-04,7.1313,8162,8576
10-May-04,21.344,8075,8503
11-May-04,18.6378,7970,8431
12-May-04,25.0943,7876,8359
13-May-04,59.1249,7780,8286
14-May-04,71.008,7693,8214
15-May-04,17.1602,7615,8142
16-May-04,29.8565,7557,8069
17-May-04,29.9813,7518,7997
18-May-04,23.8642,7503,7925
19-May-04,31.1362,7508,7852
20-May-04,6.3032,7537,7780
21-May-04,9.3158,7587,7708
22-May-04,20.3064,7656,7635
23-May-04,16.4194,7739,7563
24-May-04,2.402,7832,7491
25-May-04,0.6153,7932,7418
26-May-04,7.157,8030,7346
27-May-04,4.7759,8124,7274
28-May-04,3.9607,8208,7201
29-May-04,11.7436,8279,7129
30-May-04,8.4156,8332,7057
31-May-04,8.644,8365,7124
1-Jun-04,8.0122,8547,7415
2-Jun-04,52.2494,8617,7707
3-Jun-04,45.7753,8591,7998
4-Jun-04,0.9648,8652,8289
5-Jun-04,4.9731,8639,8580
6-Jun-04,13.8878,8601,8871
7-Jun-04,1.0997,8575,8877
8-Jun-04,6.93,8538,8768
9-Jun-04,9.8651,8464,8658
10-Jun-04,15.1538,8375,8548
11-Jun-04,23.2235,8347,8439
12-Jun-04,15.1436,8279,8329
13-Jun-04,23.5702,8230,8219
14-Jun-04,27.4443,8177,8109
15-Jun-04,4.092,8133,8000
16-Jun-04,32.926,8082,7890
17-Jun-04,48.3617,8046,7780
18-Jun-04,58.6717,8009,7671
19-Jun-04,21.1145,7994,7561
20-Jun-04,50.2801,7994,7451
21-Jun-04,48.2694,8019,7342
22-Jun-04,54.3914,8075,7232
23-Jun-04,71.0453,8156,7122
24-Jun-04,29.0525,8288,7012
25-Jun-04,7.9513,8452,6903
26-Jun-04,2.1419,8665,6793
27-Jun-04,1.9062,8900,7203
28-Jun-04,13.589,9163,7848
29-Jun-04,9.332,9429,8494
30-Jun-04,5.7478,9705,9140
1-Jul-04,11.1463,10213,9785
2-Jul-04,11.8478,10584,10431
3-Jul-04,6.7271,10818,11066
4-Jul-04,14.0692,11168,10971
5-Jul-04,36.0071,11379,10876
6-Jul-04,36.3363,11523,10781
7-Jul-04,27.2068,11642,10686
8-Jul-04,19.7702,11709,10592
9-Jul-04,26.9234,11686,10497
10-Jul-04,38.9621,11615,10402
11-Jul-04,33.1213,11606,10307
12-Jul-04,6.7117,11528,10212
13-Jul-04,11.6178,11476,10117
14-Jul-04,39.9697,11424,10022
15-Jul-04,31.5855,11399,9927
16-Jul-04,23.2944,11375,9832
17-Jul-04,43.732,11389,9996
18-Jul-04,64.2402,11410,10290
19-Jul-04,54.9697,11469,10585
20-Jul-04,10.829,11544,10879
21-Jul-04,0.0207,11651,11173
22-Jul-04,15.3254,11779,11468
23-Jul-04,28.4993,11911,11762
24-Jul-04,15.5751,12060,12056
25-Jul-04,5.9557,12197,12350
26-Jul-04,5.9029,12340,12353
27-Jul-04,23.5552,12462,12266
28-Jul-04,26.3771,12579,12180
29-Jul-04,2.3242,12668,12093
30-Jul-04,4.3578,12743,12007
31-Jul-04,12.9229,12787,11920
1-Aug-04,15.4347,12891,11833
2-Aug-04,8.5603,12923,11747
3-Aug-04,14.6824,12904,11660
4-Aug-04,16.6294,12895,11574
5-Aug-04,4.2885,12839,11487
6-Aug-04,11.731,12745,11401
7-Aug-04,18.6432,12642,11314
8-Aug-04,5.0004,12521,11227
9-Aug-04,14.4379,12381,11141
10-Aug-04,8.5178,12231,11054
11-Aug-04,6.2389,12103,10968
12-Aug-04,8.4708,11958,10881
13-Aug-04,4.9025,11818,10794
14-Aug-04,5.4549,11680,10708
15-Aug-04,10.0035,11541,10621
16-Aug-04,13.1282,11402,10535
17-Aug-04,25.1971,11264,10448
18-Aug-04,18.8261,11129,10362
19-Aug-04,18.2168,10996,10275
20-Aug-04,17.359,10868,10188
21-Aug-04,10.9932,10740,10102
22-Aug-04,7.9067,10621,10015
23-Aug-04,6.7248,10498,9929
24-Aug-04,6.5639,10387,9842
25-Aug-04,16.7088,10270,9755
26-Aug-04,15.8625,10164,9669
27-Aug-04,10.9348,10054,9582
28-Aug-04,4.2388,9954,9496
29-Aug-04,15.891,9850,9409
30-Aug-04,10.0555,9754,9323
31-Aug-04,20.1646,9656,9236
1-Sep-04,20.025,9613,9149
2-Sep-04,17.4364,9544,9063
3-Sep-04,7.0693,9459,8976
4-Sep-04,13.9679,9403,8890
5-Sep-04,27.0982,9332,8803
6-Sep-04,16.627,9257,8716
7-Sep-04,12.8523,9192,8630
8-Sep-04,34.349,9130,8543
9-Sep-04,16.0566,9063,8457
10-Sep-04,6.3366,9001,8370
11-Sep-04,10.0788,8963,8284
12-Sep-04,44.8208,8926,8197
13-Sep-04,47.1592,8901,8110
14-Sep-04,25.9603,8892,8024
15-Sep-04,9.3069,8898,7937
16-Sep-04,3.7196,8924,7851
17-Sep-04,7.5565,8963,7764
18-Sep-04,21.208,9013,7677
19-Sep-04,3.974,9068,7612
20-Sep-04,13.1835,9131,7668
21-Sep-04,15.1629,9190,7785
22-Sep-04,37.5923,9254,7846
23-Sep-04,25.8433,9309,7907
24-Sep-04,18.7839,9367,7968
25-Sep-04,12.2175,9411,8030
26-Sep-04,4.3141,9456,8091
27-Sep-04,13.6681,9486,8152
28-Sep-04,9.84,9512,8213
29-Sep-04,3.8001,9523,8274
30-Sep-04,0.1249,9530,8335
1-Oct-04,3.8359,9545,8397
2-Oct-04,13.4939,9539,8458
3-Oct-04,2.4433,9509,8519
4-Oct-04,23.7705,9491,8580
5-Oct-04,53.7406,9458,8641
6-Oct-04,41.2308,9424,8703
7-Oct-04,86.5249,9395,8764
8-Oct-04,16.1406,9377,8825
9-Oct-04,1.9479,9370,8887
10-Oct-04,0.0743,9380,8980
11-Oct-04,0,9411,8925
12-Oct-04,0,9445,8870
13-Oct-04,4.5039,9492,8815
14-Oct-04,7.3533,9546,8760
15-Oct-04,21.1735,9611,8705
16-Oct-04,0,9676,8650
17-Oct-04,0,9746,8595
18-Oct-04,0,9807,8539
19-Oct-04,0,9862,8484
20-Oct-04,0,9899,8429
21-Oct-04,0,9925,8374
22-Oct-04,0,9930,8319
23-Oct-04,0,9918,8264
24-Oct-04,0,9882,8209
25-Oct-04,0,9826,8154
26-Oct-04,0,9747,8099
27-Oct-04,0,9655,8044
28-Oct-04,0,9555,7988
29-Oct-04,0.4072,9457,7933
30-Oct-04,0.0315,9357,7878
31-Oct-04,0,9260,7823
1-Nov-04,0.0639,9088,7768
2-Nov-04,0,8957,7713
3-Nov-04,0.2135,8857,7658
4-Nov-04,0.0563,8720,7603
5-Nov-04,0.304,8614,7548
6-Nov-04,1.2955,8519,7492
7-Nov-04,0.5048,8417,7437
8-Nov-04,0.0049,8323,7382
9-Nov-04,0.2001,8247,7327
10-Nov-04,1.5951,8179,7272
11-Nov-04,0.0012,8089,7218
12-Nov-04,0.0162,8018,7164
13-Nov-04,0.1056,7941,7110
14-Nov-04,0,7868,7055
15-Nov-04,0,7797,7001
16-Nov-04,0,7734,6947
17-Nov-04,0,7667,6893
18-Nov-04,0,7606,6839
19-Nov-04,0.1885,7544,6785
20-Nov-04,0.0001,7485,6731
21-Nov-04,0.053,7428,6677
22-Nov-04,0.0003,7370,6623
23-Nov-04,1.2919,7317,6569
24-Nov-04,1.0207,7261,6515
25-Nov-04,0.0085,7212,6461
26-Nov-04,0,7158,6407
27-Nov-04,0,7110,6353
28-Nov-04,1.2553,7059,6299
29-Nov-04,0.0251,7013,6245
30-Nov-04,0.0139,6965,6190
1-Dec-04,0.2829,6799,6136
2-Dec-04,0.1367,6694,6082
3-Dec-04,0,6646,6028
4-Dec-04,0.0016,6524,5974
5-Dec-04,0.0663,6454,5920
6-Dec-04,0.0075,6395,5866
7-Dec-04,0,6329,5812
8-Dec-04,0,6268,5758
9-Dec-04,0,6238,5704
10-Dec-04,1.076,6217,5650
11-Dec-04,0.0384,6160,5596
12-Dec-04,0,6133,5542
13-Dec-04,0,6095,5488
14-Dec-04,0,6062,5434
15-Dec-04,0.0012,6027,5380
16-Dec-04,0.9171,5999,5326
17-Dec-04,0.2031,5965,5303
18-Dec-04,0,5939,5279
19-Dec-04,0.0148,5907,5256
20-Dec-04,0.107,5881,5233
21-Dec-04,3.8342,5854,5209
22-Dec-04,0.0527,5826,5186
23-Dec-04,0,5802,5162
24-Dec-04,0,5774,5139
25-Dec-04,0,5753,5116
26-Dec-04,0.1032,5726,5092
27-Dec-04,0,5706,5069
28-Dec-04,0,5680,5046
29-Dec-04,0,5659,5022
30-Dec-04,0.0005,5634,4999
31-Dec-04,0.3674,5615,4976
1-Jan-05,0.0005,5519,4952
2-Jan-05,0.102,5465,4929
3-Jan-05,0,5439,4906
4-Jan-05,0,5374,4882
5-Jan-05,0,5335,4859
6-Jan-05,0,5307,4835
7-Jan-05,0,5270,4812
8-Jan-05,0,5240,4789
9-Jan-05,0.4924,5228,4765
10-Jan-05,0,5222,4742
11-Jan-05,0.0274,5193,4719
12-Jan-05,0,5179,4695
13-Jan-05,0.1887,5160,4767
14-Jan-05,0,5141,4731
15-Jan-05,0,5123,4695
16-Jan-05,0,5106,4659
17-Jan-05,0,5087,4623
18-Jan-05,0.0812,5069,4587
19-Jan-05,0.3376,5052,4551
20-Jan-05,0.1325,5037,4515
21-Jan-05,3.0062,5026,4479
22-Jan-05,0.1201,5011,4443
23-Jan-05,5.1903,5003,4407
24-Jan-05,0.1881,4988,4371
25-Jan-05,0.4481,4982,4335
26-Jan-05,0,4968,4299
27-Jan-05,0,4961,4263
28-Jan-05,0.1189,4949,4227
29-Jan-05,0,4942,4191
30-Jan-05,0,4931,4155
31-Jan-05,0.016,4924,4119
1-Feb-05,2.7705,4763,4083
2-Feb-05,0,4685,4047
3-Feb-05,0,4666,4011
4-Feb-05,0,4564,3975
5-Feb-05,0.0009,4515,4025
6-Feb-05,0.0131,4487,4028
7-Feb-05,0.0193,4444,4031
8-Feb-05,0.6182,4412,4034
9-Feb-05,0.3003,4413,4038
10-Feb-05,0.2577,4428,4041
11-Feb-05,0,4394,4044
12-Feb-05,0.0891,4394,4047
13-Feb-05,0.6777,4381,4050
14-Feb-05,0,4373,4054
15-Feb-05,0.0784,4365,4057
16-Feb-05,5.9182,4361,4060
17-Feb-05,5.9103,4353,4063
18-Feb-05,8.459,4349,4066
19-Feb-05,0.3684,4344,4070
20-Feb-05,0.0808,4339,4073
21-Feb-05,0.0238,4337,4076
22-Feb-05,0.0281,4329,4079
23-Feb-05,0.5605,4331,4082
24-Feb-05,0.0232,4322,4086
25-Feb-05,0.0526,4326,4089
26-Feb-05,0,4317,4092
27-Feb-05,0,4320,4095
28-Feb-05,0,4313,4098
1-Mar-05,0,4266,4102
2-Mar-05,0,4235,4105
3-Mar-05,0,4234,4108
4-Mar-05,1.3551,4196,4111
5-Mar-05,11.7207,4184,4114
6-Mar-05,16.2343,4171,4118
7-Mar-05,20.8353,4160,4121
8-Mar-05,6.761,4147,4124
9-Mar-05,0,4151,4127
10-Mar-05,0,4157,4130
11-Mar-05,16.2308,4150,4134
12-Mar-05,2.0485,4154,4137
13-Mar-05,0.148,4154,4140
14-Mar-05,4.8396,4158,4143
15-Mar-05,0.7584,4159,4146
16-Mar-05,0.0754,4165,4150
17-Mar-05,8.7622,4165,4153
18-Mar-05,19.7229,4172,4156
19-Mar-05,30.7548,4173,4159
20-Mar-05,8.7661,4180,4162
21-Mar-05,7.4723,4183,4166
22-Mar-05,22.5265,4190,4169
23-Mar-05,5.1327,4194,4172
24-Mar-05,6.3174,4201,4175
25-Mar-05,0.0012,4206,4178
26-Mar-05,0.4985,4214,4182
27-Mar-05,0.6473,4219,4185
28-Mar-05,6.7747,4226,4188
29-Mar-05,0,4231,4191
30-Mar-05,53.373,4238,4194
31-Mar-05,0.2679,4243,4198
1-Apr-05,0,4201,4201
2-Apr-05,0.1363,4183,4204
3-Apr-05,1.6994,4187,4207
4-Apr-05,0.0032,4160,4210
5-Apr-05,0,4152,4214
6-Apr-05,20.9592,4148,4217
7-Apr-05,0.2606,4139,4220
8-Apr-05,0.3567,4132,4223
9-Apr-05,23.1033,4137,4226
10-Apr-05,29.2465,4143,4230
11-Apr-05,10.629,4135,4233
12-Apr-05,2.546,4140,4236
13-Apr-05,0,4142,4239
14-Apr-05,0,4147,4242
15-Apr-05,5.8133,4149,4246
16-Apr-05,3.2119,4154,4249
17-Apr-05,6.6541,4156,4252
18-Apr-05,1.3501,4159,4255
19-Apr-05,1.5567,4160,4258
20-Apr-05,2.0575,4162,4262
21-Apr-05,0.3359,4162,4265
22-Apr-05,3.7401,4163,4268
23-Apr-05,15.5461,4163,4271
24-Apr-05,16.1991,4163,4274
25-Apr-05,18.3782,4164,4278
26-Apr-05,18.0927,4164,4281
27-Apr-05,15.4288,4165,4284
28-Apr-05,32.0745,4165,4287
29-Apr-05,18.8718,4167,4290
30-Apr-05,2.6186,4169,4294
1-May-05,2.5437,4123,4297
2-May-05,1.063,4104,4300
3-May-05,3.7169,4104,4303
4-May-05,1.4301,4075,4306
5-May-05,2.1399,4065,4310
6-May-05,0,4064,4313
7-May-05,0,4059,4316
8-May-05,0.5914,4057,4319
9-May-05,3.628,4064,4322
10-May-05,24.1574,4077,4326
11-May-05,6.3007,4071,4329
12-May-05,8.7675,4077,4332
13-May-05,11.2155,4076,4335
14-May-05,18.5522,4078,4338
15-May-05,37.4532,4075,4342
16-May-05,32.8666,4078,4345
17-May-05,42.2359,4077,4348
18-May-05,13.888,4084,4351
19-May-05,50.4246,4094,4658
20-May-05,10.023,4116,4786
21-May-05,22.9067,4149,4913
22-May-05,32.2577,4197,5040
23-May-05,49.9176,4261,5167
24-May-05,50.0011,4343,5294
25-May-05,49.7949,4451,5422
26-May-05,23.3104,4587,5549
27-May-05,5.0456,4754,5676
28-May-05,8.6395,4945,5803
29-May-05,2.0824,5157,5930
30-May-05,3.874,5380,6058
31-May-05,12.6978,5611,6185
1-Jun-05,9.2116,6015,6312
2-Jun-05,0.1809,6325,6439
3-Jun-05,6.0567,6550,6567
4-Jun-05,8.7149,6857,6694
5-Jun-05,1.243,7073,6821
6-Jun-05,0.0146,7242,6948
7-Jun-05,0.4383,7395,7075
8-Jun-05,0.7701,7506,7593
9-Jun-05,7.5155,7546,7772
10-Jun-05,2.2342,7542,7950
11-Jun-05,6.5026,7565,8128
12-Jun-05,4.5802,7521,8306
13-Jun-05,23.4782,7474,8485
14-Jun-05,11.9964,7409,8663
15-Jun-05,5.9368,7345,8841
16-Jun-05,18.1392,7272,8916
17-Jun-05,21.2839,7209,8881
18-Jun-05,16.6296,7140,8845
19-Jun-05,7.3294,7080,8809
20-Jun-05,5.0035,7019,8774
21-Jun-05,24.4681,6960,8738
22-Jun-05,22.628,6908,8702
23-Jun-05,15.9922,6851,8667
24-Jun-05,23.7045,6807,8631
25-Jun-05,8.0584,6753,8596
26-Jun-05,1.3542,6714,8560
27-Jun-05,12.3707,6666,8524
28-Jun-05,25.2176,6630,8489
29-Jun-05,13.2697,6586,8453
30-Jun-05,13.2758,6551,8417
1-Jul-05,26.3875,6757,8382
2-Jul-05,8.3442,6843,8346
3-Jul-05,22.8794,6818,8310
4-Jul-05,9.8944,6945,8275
5-Jul-05,11.1878,6973,8239
6-Jul-05,19.8693,6980,8203
7-Jul-05,7.6284,7009,8168
8-Jul-05,2.3381,7026,8132
9-Jul-05,0.985,6986,8096
10-Jul-05,3.6948,6925,8061
11-Jul-05,12.0302,6946,8025
12-Jul-05,36.3194,6908,7989
13-Jul-05,48.8943,6898,7954
14-Jul-05,27.5785,6880,7918
15-Jul-05,7.9231,6881,7882
16-Jul-05,11.5552,6877,7847
17-Jul-05,21.2181,6897,7811
18-Jul-05,15.8489,6907,7775
19-Jul-05,14.8975,6937,7740
20-Jul-05,11.0916,6962,7704
21-Jul-05,16.3215,6998,7668
22-Jul-05,21.4909,7038,7633
23-Jul-05,20.8771,7076,7597
24-Jul-05,11.1094,7127,7592
25-Jul-05,8.6103,7169,7608
26-Jul-05,17.7708,7222,7624
27-Jul-05,20.1669,7264,7640
28-Jul-05,4.0389,7313,7656
29-Jul-05,2.4119,7351,7671
30-Jul-05,5.1411,7392,7687
31-Jul-05,5.8398,7418,7703
1-Aug-05,12.6234,7516,7719
